position,person,personID,start,end
monarch,Elizabeth II,Q9682,1974-02-07,2022-09-08
monarch,Charles III,Q43274,2022-09-08,
Governor General,Daniel Williams,Q187905,1996-08-08,2008-11-27
Governor General,Carlyle Glean,Q380137,2008-11-27,2013-05-07
Governor General,Cécile La Grenade,Q11964294,2013-05-07,
Prime Minister,Keith Mitchell,Q370110,1995-06-22,2008-07-09
Prime Minister,Keith Mitchell,Q370110,2013-02-20,2022-06-24
Prime Minister,Dickon Mitchell,Q112679881,2022-06-24,
Minister of Foreign Affairs,Mark Isaac,Q108426378,1998,2000
