position,title
Q26869646,monarch
Q28841324,Governor General
Q30100613,Prime Minister
Q114773674,Minister of Carriacou and Petit Martinique Affairs
Q114773804,"Minister of Climate Resilience, Environment and Energy"
Q114773805,Minister of Economic Development and Planning
Q114773806,"Minister of Education, Youth and Sports Affairs"
Q114773807,Minister of Finance
Q18345267,Minister of Foreign Affairs
Q114773808,"Minister of Health, Wellness and Religious Affairs"
Q114773809,Minister of Infrastructure and Physical Development
Q114773810,"Minister of Legal, Labour and Consumer Affairs"
Q114773811,"Minister of Mobilisation, Implementation and Transformation"
Q114773812,"Minister of National Security, Home Affairs, and Public Administration"
Q114773813,"Minister of Social, Community Development, Housing and Gender Affairs"
Q114773672,"Minister of Tourism, Civil Aviation & Culture"
Q114773814,Minister of State with responsibility for Agriculture
Q114773815,Minister of State with responsibility for Social Development and Gender Affairs
Q114773816,Minister of State with responsibilty for Youth and Sports
Q22091831,Attorney General
