gender,itemLabel,positionLabel,startdate
male,Andy Williams,"Minister of Mobilisation, Implementation and Transformation",2022-06-29
male,Lennox John Andrews,"Minister of Economic Development and Planning",2022-06-29
male,Joseph Andall,"Minister of Foreign Affairs, Trade and Export Development",2022-06-29
male,Dickon Mitchell,"Minister of Finance",2022-06-29
male,Tevin Andrews,"Minister of Carriacou and Petite Martinique Affairs",2022-06-29
male,David Evlyn Andrew,"Minister of Education, Youth and Sports Affairs",2022-06-29
male,Gayton Jonathan LaCrette,"Minister of Health, Wellness and Religious Affairs",2022-06-29
male,Dennis Cornwall,"Minister of Infrastructure and Physical Development",2022-06-29
female,Claudette Joseph,"Attorney General",2022-06-29
female,Claudette Joseph,"Minister of Legal, Labour and Consumer Affairs",2022-06-29
male,Phillip Alfred Telesford,"Minister of Social, Community Development, Housing and Gender Affairs",2022-06-29
male,Dickon Mitchell,"Minister of National Security, Home Affairs, and Public Administration",2022-06-29
female,Kerryne Zennelle James,"Minister of Climate Resilience, Environment and Energy",2022-06-29
male,Adrian Augustine Thomas,"Minister of State with responsibility for Agriculture",2022-06-29
male,Ron Livingston Redhead,"Minister of State with responsibilty for Youth and Sports",2022-06-29
female,Gloria Ann Thomas,"Minister of State with responsibility for Social Development and Gender Affairs",2022-06-29
