who,position,positionLabel,startDate,endDate,replaces,replacesLabel,replacedBy,replacedByLabel,posidx
20096485,List of High Commissioners of Grenada to the United Kingdom,High Commissioner of Grenada to the United Kingdom,2016-01-08,,,Joslyn Whiteman,,,0
20096485,,,2013-04-27,2016-01-08,,Joslyn Whiteman,Denis Godwin Antoine,Denis Godwin Antoine,1
20096485,Q18345267,Minister of Foreign Affairs,2010-11-26,2012-05-18,Q58231,Peter David,Q57796,Tillman Thomas,2
20096485,,"Minister of Labour, Social Security and Ecclesiastical Affairs","July 9, 2008, 2008",2010-11-26,,,,Glynis Roberts,3
20096485,,Member of Parliament for St. George South-East,2008-07-08,2013-02-13,,Gregory Bowen,,Gregory Bowen,4
