position,positionLabel,country,countryLabel,jurisdiction,jurisdictionLabel,inception,abolished,predecessor,predecessorLabel,successor,successorLabel,deputy,deputyLabel,list,listLabel
Q18345267,Minister of Foreign Affairs,Q769,Grenada,Q769,Grenada,,,,,,,,,,
Q21290858,Member of the House of Representatives of Grenada,Q769,Grenada,Q769,Grenada,,,,,,,,,,
Q21295137,Member of the Senate of Grenada,,,Q769,Grenada,,,,,,,,,,
Q22091831,Attorney General of Grenada,,,,,,,,,,,,,,
Q26869646,monarch of Grenada,Q769,Grenada,Q769,Grenada,,,,,,,,,,
Q28404596,Grenadian Ambassador to the United States,,,,,,,,,,,,,Q113564205,list of ambassadors of Grenada to the United States
Q28841324,Governor General of Grenada,Q769,Grenada,,,,,,,,,,,,
Q30100613,Prime Minister of Grenada,Q769,Grenada,Q769,Grenada,,,,,,,,,Q1276041,list of heads of government of Grenada
Q96943613,high commissioner of Grenada to the United Kingdom,,,,,1974-11-14,,,,,,,,Q6573091,list of High Commissioners of Grenada to the United Kingdom
Q107339104,member of the Legislative Council of Grenada,Q769,Grenada,,,,,,,,,,,,
Q107339108,member of the Parliament of Grenada,Q769,Grenada,,,,,,,,,,,,
Q114773672,"Minister of Tourism, Civil Aviation & Culture",Q769,Grenada,Q769,Grenada,,,,,,,,,,
Q114773674,Minister of Carriacou and Petit Martinique Affairs,Q769,Grenada,Q769,Grenada,,,,,,,,,,
Q114773685,ambassador of Grenada to China,,,,,,,,,,,,,,
Q114773804,"Minister of Climate Resilience, Environment and Energy",Q769,Grenada,Q769,Grenada,,,,,,,,,,
Q114773805,Minister of Economic Development and Planning,Q769,Grenada,Q769,Grenada,,,,,,,,,,
Q114773806,"Minister of Education, Youth and Sports Affairs",Q769,Grenada,Q769,Grenada,,,,,,,,,,
Q114773807,Minister of Finance,Q769,Grenada,Q769,Grenada,,,,,,,,,,
Q114773808,"Minister of Health, Wellness and Religious Affairs",Q769,Grenada,Q769,Grenada,,,,,,,,,,
Q114773809,Minister of Infrastructure and Physical Development,Q769,Grenada,Q769,Grenada,,,,,,,,,,
Q114773810,"Minister of Legal, Labour and Consumer Affairs",Q769,Grenada,Q769,Grenada,,,,,,,,,,
Q114773811,"Minister of Mobilisation, Implementation and Transformation",Q769,Grenada,Q769,Grenada,,,,,,,,,,
Q114773812,"Minister of National Security, Home Affairs, and Public Administration",Q769,Grenada,Q769,Grenada,,,,,,,,,,
Q114773813,"Minister of Social, Community Development, Housing and Gender Affairs",Q769,Grenada,Q769,Grenada,,,,,,,,,,
Q114773814,Minister of State with responsibility for Agriculture,Q769,Grenada,Q769,Grenada,,,,,,,,,,
Q114773815,Minister of State with responsibility for Social Development and Gender Affairs,Q769,Grenada,Q769,Grenada,,,,,,,,,,
Q114773816,Minister of State with responsibilty for Youth and Sports,Q769,Grenada,Q769,Grenada,,,,,,,,,,
