item,itemLabel,ministry,ministryLabel,country,jurisdiction,began,ended
Q22091831,Attorney General of Grenada,,,,,,
Q114773674,Minister of Carriacou and Petit Martinique Affairs,,,Q769,Q769,,
Q114773804,"Minister of Climate Resilience, Environment and Energy",,,Q769,Q769,,
Q114773805,Minister of Economic Development and Planning,,,Q769,Q769,,
Q114773806,"Minister of Education, Youth and Sports Affairs",,,Q769,Q769,,
Q114773807,Minister of Finance,,,Q769,Q769,,
Q18345267,Minister of Foreign Affairs,,,Q769,Q769,,
Q114773808,"Minister of Health, Wellness and Religious Affairs",,,Q769,Q769,,
Q114773809,Minister of Infrastructure and Physical Development,,,Q769,Q769,,
Q114773810,"Minister of Legal, Labour and Consumer Affairs",,,Q769,Q769,,
Q114773811,"Minister of Mobilisation, Implementation and Transformation",,,Q769,Q769,,
Q114773812,"Minister of National Security, Home Affairs, and Public Administration",,,Q769,Q769,,
Q114773813,"Minister of Social, Community Development, Housing and Gender Affairs",,,Q769,Q769,,
Q114773814,Minister of State with responsibility for Agriculture,,,Q769,Q769,,
Q114773815,Minister of State with responsibility for Social Development and Gender Affairs,,,Q769,Q769,,
Q114773816,Minister of State with responsibilty for Youth and Sports,,,Q769,Q769,,
Q114773672,"Minister of Tourism, Civil Aviation & Culture",,,Q769,Q769,,
Q30100613,Prime Minister of Grenada,,,Q769,Q769,,
