item,rank,gender,isIdentity,hasref,refitem,exurl,wmurl,wmproj
Q108426378,NormalRank,Q6581097,true,false,,,,
Q112679881,NormalRank,Q6581097,true,false,,,,
Q113486116,NormalRank,Q6581072,true,false,,,,
Q113555132,NormalRank,Q6581097,true,false,,,,
Q113561184,,,,false,,,,
Q114773762,,,,false,,,,
Q114773822,NormalRank,Q6581097,true,false,,,,
Q114773823,NormalRank,Q6581097,true,false,,,,
Q114773824,NormalRank,Q6581097,true,false,,,,
Q114773825,NormalRank,Q6581097,true,false,,,,
Q114773826,NormalRank,Q6581097,true,false,,,,
Q114773827,NormalRank,Q6581072,true,false,,,,
Q114773828,NormalRank,Q6581072,true,false,,,,
Q114773830,NormalRank,Q6581097,true,false,,,,
Q114773831,NormalRank,Q6581097,true,false,,,,
Q114773832,NormalRank,Q6581097,true,false,,,,
Q114773833,NormalRank,Q6581097,true,false,,,,
Q11964294,NormalRank,Q6581072,true,true,false,false,false,true
Q187905,NormalRank,Q6581097,true,false,,,,
Q370110,NormalRank,Q6581097,true,true,false,false,false,true
Q380137,NormalRank,Q6581097,true,false,,,,
Q40027841,NormalRank,Q6581097,true,false,,,,
Q5126938,NormalRank,Q6581072,true,true,false,false,false,true
Q5543548,NormalRank,Q6581097,true,false,,,,
Q6371912,NormalRank,Q6581097,true,false,,,,
Q43274,NormalRank,Q6581097,true,true,false,false,false,true
Q57796,NormalRank,Q6581097,true,true,false,false,false,true
Q58224,NormalRank,Q6581097,true,true,false,false,false,true
Q58231,NormalRank,Q6581097,true,false,,,,
Q9682,NormalRank,Q6581072,true,true,false,true,false,false
Q9682,NormalRank,Q6581072,true,true,true,false,false,false
